index,result,time,csm_result,csm_time
chc-lia-lin-0104.smt2,timeout,926.36,timeout,923.38
chc-lia-lin-0105.smt2,timeout,924.32,timeout,929.65
chc-lia-lin-0106.smt2,timeout,926.18,timeout,925.70
chc-lia-lin-0107.smt2,sat,0.06,sat,0.06
chc-lia-lin-0108.smt2,sat,0.04,sat,0.04
chc-lia-lin-0109.smt2,sat,0.07,sat,0.08
chc-lia-lin-0110.smt2,sat,39.19,sat,36.61
chc-lia-lin-0111.smt2,sat,0.09,sat,0.13
chc-lia-lin-0112.smt2,sat,0.08,sat,0.09
chc-lia-lin-0113.smt2,sat,0.19,sat,0.22
chc-lia-lin-0114.smt2,sat,5.07,sat,5.90
chc-lia-lin-0115.smt2,sat,7.48,sat,7.07
chc-lia-lin-0116.smt2,sat,341.12,sat,422.25
chc-lia-lin-0117.smt2,unsat,0.01,unsat,0.02
chc-lia-lin-0118.smt2,timeout,926.67,timeout,926.44
chc-lia-lin-0119.smt2,sat,3.73,sat,3.24
chc-lia-lin-0120.smt2,sat,29.27,sat,29.03
chc-lia-lin-0121.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0122.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0123.smt2,sat,0.06,sat,0.09
chc-lia-lin-0124.smt2,sat,0.11,sat,0.11
chc-lia-lin-0125.smt2,sat,0.61,sat,0.31
chc-lia-lin-0126.smt2,timeout,928.26,timeout,928.21
chc-lia-lin-0127.smt2,sat,2.18,sat,2.35
chc-lia-lin-0128.smt2,timeout,928.67,timeout,928.10
chc-lia-lin-0129.smt2,timeout,927.69,unsat,140.17
chc-lia-lin-0130.smt2,sat,256.16,timeout,927.21
chc-lia-lin-0131.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0132.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0133.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0134.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0135.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0136.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0137.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0138.smt2,sat,0.01,sat,0.01
chc-lia-lin-0139.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0140.smt2,sat,0.10,sat,0.14
chc-lia-lin-0141.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0142.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0143.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0144.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0145.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0146.smt2,sat,204.63,sat,303.66
chc-lia-lin-0147.smt2,sat,2.21,sat,2.75
chc-lia-lin-0148.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0149.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0150.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0151.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0152.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0153.smt2,sat,2.39,sat,2.85
chc-lia-lin-0154.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0155.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0156.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0157.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0158.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0159.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0160.smt2,unsat,0.02,unsat,0.03
chc-lia-lin-0161.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0162.smt2,sat,51.16,sat,90.89
chc-lia-lin-0163.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0164.smt2,sat,46.86,sat,237.44
chc-lia-lin-0165.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0166.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0167.smt2,sat,4.35,sat,53.17
chc-lia-lin-0168.smt2,sat,5.59,sat,4.94
chc-lia-lin-0169.smt2,sat,3.37,sat,5.77
chc-lia-lin-0170.smt2,sat,5.32,sat,5.20
chc-lia-lin-0171.smt2,sat,3.47,sat,4.46
chc-lia-lin-0172.smt2,sat,3.42,sat,4.82
chc-lia-lin-0173.smt2,sat,9.54,sat,4.97
chc-lia-lin-0174.smt2,unsat,0.87,unsat,0.69
chc-lia-lin-0175.smt2,sat,90.23,sat,375.34
chc-lia-lin-0176.smt2,unsat,0.86,unsat,1.08
chc-lia-lin-0177.smt2,unsat,1.25,unsat,1.04
chc-lia-lin-0178.smt2,unsat,0.27,unsat,0.36
chc-lia-lin-0179.smt2,sat,237.21,sat,381.78
chc-lia-lin-0180.smt2,timeout,927.72,timeout,927.98
chc-lia-lin-0181.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0182.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0183.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0184.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0185.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0186.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0187.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0188.smt2,sat,7.34,sat,7.76
chc-lia-lin-0189.smt2,sat,515.84,sat,399.96
chc-lia-lin-0190.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0191.smt2,sat,46.72,sat,60.29
chc-lia-lin-0192.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0193.smt2,unsat,0.99,unsat,1.01
chc-lia-lin-0194.smt2,unsat,0.03,unsat,0.03
chc-lia-lin-0195.smt2,sat,18.81,sat,25.75
chc-lia-lin-0196.smt2,unsat,0.37,unsat,0.52
