index,result,time,csm_result,csm_time
chc-lia-lin-arr-0092.smt2,timeout,924.65,timeout,924.12
chc-lia-lin-arr-0093.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0094.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0095.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0096.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0097.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0098.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0099.smt2,sat,21.18,sat,61.26
chc-lia-lin-arr-0100.smt2,unsat,58.42,unsat,106.08
chc-lia-lin-arr-0101.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0102.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0103.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0104.smt2,timeout,925.02,timeout,922.31
chc-lia-lin-arr-0105.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0106.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0107.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0108.smt2,unsat,232.69,unsat,857.51
chc-lia-lin-arr-0109.smt2,unsat,460.38,unsat,770.02
chc-lia-lin-arr-0110.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0111.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0112.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0113.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0114.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0115.smt2,timeout,921.35,timeout,922.54
chc-lia-lin-arr-0116.smt2,timeout,920.64,timeout,922.56
chc-lia-lin-arr-0117.smt2,unsat,0.06,unsat,0.11
chc-lia-lin-arr-0118.smt2,timeout,921.34,timeout,927.74
chc-lia-lin-arr-0119.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0120.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0121.smt2,timeout,924.33,timeout,925.05
chc-lia-lin-arr-0122.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0123.smt2,timeout,921.34,timeout,923.66
chc-lia-lin-arr-0124.smt2,timeout,921.16,timeout,923.51
